Queue Number,Latitute,Longitude,Queue Date,Substation Name,Substation Transformer,Capacity (MW),Interdependency Status
VA20209, 37.1887704, -78.21621637, 8/4/20, Crewe, TX#1, 3, Project A
VA22201, 37.152379, -78.136094, 8/23/22, Crewe, TX#1, 4.98, Project A
VA21095, 37.183258, -78.189925, 1/28/21, Crewe, TX#1, 5, Project B
VA22217, 37.165817, -78.096444, 9/7/22, Crewe, TX#1, 3, Project B
VA23142, 38.380769, -78.008297, 5/17/23, Culpeper, TX#1, 5, Project A
VA23454, 38.454732, -77.983116, 10/26/23, Culpeper, TX#1, 0, Project A
VA20290, 37.764667, -77.437185, 10/2/20, Hanover, TX#2, 26, Project A
VA22183, 37.75512, -77.45976, 8/4/22, Hanover, TX#2, 1.25, Project A
VA20268, 37.760711, -77.47709, 9/22/20, Hanover, TX#4, 0.055, Project A
VA22309, 37.718128, -77.431794, 10/27/22, Hanover, TX#4, 5, Project A
VA21027, 37.269226, -77.513515, 1/8/21, Locks, TX#4, 2.5, Project A
VA22176, 37.21665, -77.45142, 7/26/22, Locks, TX#4, 2.5, Project A
VA19135, 36.4637, -76.0032, 11/14/19, Pendleton, TX#2, 10, Project A
VA23445, 36.771128095, -75.956452827, 10/23/23, Pendleton, TX#2, 1.5, Project A
VA21105, 37.003444, -79.014583, 1/28/21, Perth, TX#1, 5, Project A
VA21107, 37.00468, -78.973005, 1/28/21, Perth, TX#1, 5, Project A
VA21459, 37.5051, -76.677133, 7/26/21, Shackleford, TX#1, 20, Project A
VA24023, , , 1/10/24, Shackleford, TX#1, 0, Project A
VA19132, 36.888545, -76.611078, 10/22/19, Smithfield, TX#2, 0, Project A
VA22314, 37.016496, -76.637656, 11/2/22, Smithfield, TX#2, 19.2, Project A
VA21087, 38.073665, -76.655655, 1/28/21, Westmoreland, TX#1, 1, Project A
VA22221, 38.0704984, -76.7754918999999, 9/7/22, Westmoreland, TX#1, 0, Project A
